user_id,date,device,sex,home,search,payment,confirmation
450007,2015-02-28,Desktop,Female,1,0,0,0
756838,2015-01-13,Desktop,Male,1,0,0,0
568983,2015-04-09,Desktop,Male,1,1,0,0
190794,2015-02-18,Desktop,Female,1,1,0,0
537909,2015-01-15,Desktop,Male,1,0,0,0
993454,2015-03-03,Desktop,Male,1,0,0,0
377150,2015-04-15,Desktop,Female,1,1,0,0
137258,2015-01-27,Mobile,Male,1,0,0,0
608249,2015-04-12,Desktop,Female,1,0,0,0
615615,2015-02-24,Mobile,Female,1,1,0,0
96069,2015-04-13,Mobile,Female,1,0,0,0
664476,2015-02-13,Desktop,Female,1,0,0,0
236201,2015-03-14,Desktop,Male,1,1,0,0
796359,2015-04-02,Desktop,Male,1,0,0,0
592962,2015-04-25,Desktop,Male,1,1,0,0
971488,2015-02-27,Desktop,Female,1,1,0,0
610157,2015-02-11,Desktop,Female,1,0,0,0
561375,2015-04-11,Desktop,Female,1,0,0,0
624556,2015-01-25,Desktop,Male,1,0,0,0
443293,2015-03-19,Mobile,Male,1,0,0,0
435414,2015-03-11,Mobile,Female,1,0,0,0
969529,2015-04-14,Desktop,Female,1,1,0,0
830503,2015-01-21,Desktop,Female,1,0,0,0
184748,2015-02-18,Mobile,Male,1,1,0,0
68397,2015-04-02,Desktop,Male,1,0,0,0
682442,2015-04-03,Desktop,Male,1,0,0,0
62655,2015-01-30,Desktop,Female,1,1,0,0
159517,2015-03-25,Desktop,Male,1,1,0,0
78294,2015-04-19,Mobile,Female,1,0,0,0
504960,2015-03-08,Desktop,Female,1,0,0,0
449259,2015-02-15,Desktop,Male,1,1,0,0
976991,2015-04-24,Desktop,Male,1,1,0,0
639988,2015-04-03,Desktop,Female,1,0,0,0
668253,2015-02-05,Desktop,Male,1,0,0,0
838832,2015-03-08,Desktop,Female,1,1,1,0
126297,2015-01-01,Mobile,Male,1,1,0,0
700880,2015-01-07,Desktop,Male,1,0,0,0
606959,2015-02-21,Desktop,Female,1,0,0,0
252135,2015-03-10,Mobile,Male,1,1,0,0
886066,2015-01-10,Desktop,Male,1,1,0,0
283193,2015-02-12,Desktop,Male,1,1,0,0
527765,2015-03-13,Mobile,Male,1,0,0,0
265629,2015-04-27,Mobile,Male,1,0,0,0
469531,2015-04-20,Mobile,Male,1,0,0,0
632470,2015-03-06,Desktop,Male,1,1,0,0
142395,2015-02-21,Desktop,Female,1,1,0,0
948203,2015-03-03,Desktop,Female,1,1,0,0
601434,2015-02-03,Desktop,Male,1,1,0,0
429473,2015-02-28,Mobile,Female,1,1,0,0
291813,2015-03-28,Desktop,Female,1,1,0,0
378948,2015-03-06,Mobile,Male,1,1,0,0
220197,2015-01-14,Desktop,Female,1,0,0,0
245517,2015-02-23,Desktop,Female,1,0,0,0
